json_file_path,stage,consumer_scope,irrigability_bucket,irrigability_reasons,vehicle_count,vehicle_modules,stage_declared_consumer_ids,stage_registered_consumer_ids,stage_expected_signal_types,stage_required_capabilities,flag_no_vehicle_found,flag_needs_equipped_consumer,flag_value_blocked,flag_signal_vocab_gap,flag_capability_vocab_gap,file_exists,file_bytes,recommended_action
_registry/entities/international.json,phase_3,Phase_3,irrigable_now,[],0,[],"[""BaselineScorer"", ""CausalScorer"", ""CrossCuttingScorer"", ""DimensionScorer"", ""PolicyAreaScorer"", ""QualityScorer"", ""StructuralScorer""]","[""phase_3_validation""]","[""NORMATIVE_VALIDATION"", ""ENTITY_VALIDATION"", ""COHERENCE_VALIDATION""]","[""COMPLIANCE_CHECK"", ""CONSISTENCY_CHECK"", ""ENTITY_RESOLUTION"", ""EXISTENCE_CHECK"", ""NORMATIVE_LOOKUP"", ""SEMANTIC_SIMILARITY""]",True,False,False,True,True,True,1178,align_vocab_signal_or_capability
_registry/entities/normative.json,phase_3,Phase_3,irrigable_now,[],0,[],"[""BaselineScorer"", ""CausalScorer"", ""CrossCuttingScorer"", ""DimensionScorer"", ""PolicyAreaScorer"", ""QualityScorer"", ""StructuralScorer""]","[""phase_3_validation""]","[""NORMATIVE_VALIDATION"", ""ENTITY_VALIDATION"", ""COHERENCE_VALIDATION""]","[""COMPLIANCE_CHECK"", ""CONSISTENCY_CHECK"", ""ENTITY_RESOLUTION"", ""EXISTENCE_CHECK"", ""NORMATIVE_LOOKUP"", ""SEMANTIC_SIMILARITY""]",True,False,False,True,True,True,5298,align_vocab_signal_or_capability
_registry/entities/normative_compliance.json,phase_3,Phase_3,irrigable_now,[],0,[],"[""BaselineScorer"", ""CausalScorer"", ""CrossCuttingScorer"", ""DimensionScorer"", ""PolicyAreaScorer"", ""QualityScorer"", ""StructuralScorer""]","[""phase_3_validation""]","[""NORMATIVE_VALIDATION"", ""ENTITY_VALIDATION"", ""COHERENCE_VALIDATION""]","[""COMPLIANCE_CHECK"", ""CONSISTENCY_CHECK"", ""ENTITY_RESOLUTION"", ""EXISTENCE_CHECK"", ""NORMATIVE_LOOKUP"", ""SEMANTIC_SIMILARITY""]",True,False,False,True,True,True,8765,align_vocab_signal_or_capability
_registry/entities/policy_areas_canonical.json,phase_3,Phase_3,irrigable_now,[],0,[],"[""BaselineScorer"", ""CausalScorer"", ""CrossCuttingScorer"", ""DimensionScorer"", ""PolicyAreaScorer"", ""QualityScorer"", ""StructuralScorer""]","[""phase_3_validation""]","[""NORMATIVE_VALIDATION"", ""ENTITY_VALIDATION"", ""COHERENCE_VALIDATION""]","[""COMPLIANCE_CHECK"", ""CONSISTENCY_CHECK"", ""ENTITY_RESOLUTION"", ""EXISTENCE_CHECK"", ""NORMATIVE_LOOKUP"", ""SEMANTIC_SIMILARITY""]",True,False,False,True,True,True,3172,align_vocab_signal_or_capability
_registry/entities/populations.json,phase_3,Phase_3,irrigable_now,[],0,[],"[""BaselineScorer"", ""CausalScorer"", ""CrossCuttingScorer"", ""DimensionScorer"", ""PolicyAreaScorer"", ""QualityScorer"", ""StructuralScorer""]","[""phase_3_validation""]","[""NORMATIVE_VALIDATION"", ""ENTITY_VALIDATION"", ""COHERENCE_VALIDATION""]","[""COMPLIANCE_CHECK"", ""CONSISTENCY_CHECK"", ""ENTITY_RESOLUTION"", ""EXISTENCE_CHECK"", ""NORMATIVE_LOOKUP"", ""SEMANTIC_SIMILARITY""]",True,False,False,True,True,True,2252,align_vocab_signal_or_capability
_registry/entities/territorial.json,phase_3,Phase_3,irrigable_now,[],0,[],"[""BaselineScorer"", ""CausalScorer"", ""CrossCuttingScorer"", ""DimensionScorer"", ""PolicyAreaScorer"", ""QualityScorer"", ""StructuralScorer""]","[""phase_3_validation""]","[""NORMATIVE_VALIDATION"", ""ENTITY_VALIDATION"", ""COHERENCE_VALIDATION""]","[""COMPLIANCE_CHECK"", ""CONSISTENCY_CHECK"", ""ENTITY_RESOLUTION"", ""EXISTENCE_CHECK"", ""NORMATIVE_LOOKUP"", ""SEMANTIC_SIMILARITY""]",True,False,False,True,True,True,17200,align_vocab_signal_or_capability
_registry/keywords/by_policy_area/PA01.json,phase_2,Phase_2,definitely_not,"[""scope_alignment=PARTIAL""]",0,[],"[""EvidenceNexus"", ""IrrigationSynchronizer"", ""SignalEnhancementIntegrator""]","[""phase_2_enrichment""]","[""PATTERN_ENRICHMENT"", ""KEYWORD_ENRICHMENT"", ""ENTITY_ENRICHMENT""]","[""ENTITY_LINKING"", ""KEYWORD_MATCHING"", ""NER_EXTRACTION"", ""PATTERN_MATCHING"", ""REGEX_ENGINE"", ""TF_IDF""]",True,False,True,True,False,True,3645,reclassify_value_gate
_registry/keywords/by_policy_area/PA01_mujeres_genero.json,phase_2,Phase_2,definitely_not,"[""scope_alignment=PARTIAL""]",0,[],"[""EvidenceNexus"", ""IrrigationSynchronizer"", ""SignalEnhancementIntegrator""]","[""phase_2_enrichment""]","[""PATTERN_ENRICHMENT"", ""KEYWORD_ENRICHMENT"", ""ENTITY_ENRICHMENT""]","[""ENTITY_LINKING"", ""KEYWORD_MATCHING"", ""NER_EXTRACTION"", ""PATTERN_MATCHING"", ""REGEX_ENGINE"", ""TF_IDF""]",True,False,True,True,False,True,3176,reclassify_value_gate
_registry/keywords/by_policy_area/PA02.json,phase_2,Phase_2,definitely_not,"[""scope_alignment=PARTIAL""]",0,[],"[""EvidenceNexus"", ""IrrigationSynchronizer"", ""SignalEnhancementIntegrator""]","[""phase_2_enrichment""]","[""PATTERN_ENRICHMENT"", ""KEYWORD_ENRICHMENT"", ""ENTITY_ENRICHMENT""]","[""ENTITY_LINKING"", ""KEYWORD_MATCHING"", ""NER_EXTRACTION"", ""PATTERN_MATCHING"", ""REGEX_ENGINE"", ""TF_IDF""]",True,False,True,True,False,True,3459,reclassify_value_gate
_registry/keywords/by_policy_area/PA02_violencia_conflicto.json,phase_2,Phase_2,definitely_not,"[""scope_alignment=PARTIAL""]",0,[],"[""EvidenceNexus"", ""IrrigationSynchronizer"", ""SignalEnhancementIntegrator""]","[""phase_2_enrichment""]","[""PATTERN_ENRICHMENT"", ""KEYWORD_ENRICHMENT"", ""ENTITY_ENRICHMENT""]","[""ENTITY_LINKING"", ""KEYWORD_MATCHING"", ""NER_EXTRACTION"", ""PATTERN_MATCHING"", ""REGEX_ENGINE"", ""TF_IDF""]",True,False,True,True,False,True,2978,reclassify_value_gate
_registry/keywords/by_policy_area/PA03.json,phase_2,Phase_2,definitely_not,"[""scope_alignment=PARTIAL""]",0,[],"[""EvidenceNexus"", ""IrrigationSynchronizer"", ""SignalEnhancementIntegrator""]","[""phase_2_enrichment""]","[""PATTERN_ENRICHMENT"", ""KEYWORD_ENRICHMENT"", ""ENTITY_ENRICHMENT""]","[""ENTITY_LINKING"", ""KEYWORD_MATCHING"", ""NER_EXTRACTION"", ""PATTERN_MATCHING"", ""REGEX_ENGINE"", ""TF_IDF""]",True,False,True,True,False,True,4780,reclassify_value_gate
_registry/keywords/by_policy_area/PA03_ambiente_cambio_climatico.json,phase_2,Phase_2,definitely_not,"[""scope_alignment=PARTIAL""]",0,[],"[""EvidenceNexus"", ""IrrigationSynchronizer"", ""SignalEnhancementIntegrator""]","[""phase_2_enrichment""]","[""PATTERN_ENRICHMENT"", ""KEYWORD_ENRICHMENT"", ""ENTITY_ENRICHMENT""]","[""ENTITY_LINKING"", ""KEYWORD_MATCHING"", ""NER_EXTRACTION"", ""PATTERN_MATCHING"", ""REGEX_ENGINE"", ""TF_IDF""]",True,False,True,True,False,True,4293,reclassify_value_gate
_registry/keywords/by_policy_area/PA04.json,phase_2,Phase_2,definitely_not,"[""scope_alignment=PARTIAL""]",0,[],"[""EvidenceNexus"", ""IrrigationSynchronizer"", ""SignalEnhancementIntegrator""]","[""phase_2_enrichment""]","[""PATTERN_ENRICHMENT"", ""KEYWORD_ENRICHMENT"", ""ENTITY_ENRICHMENT""]","[""ENTITY_LINKING"", ""KEYWORD_MATCHING"", ""NER_EXTRACTION"", ""PATTERN_MATCHING"", ""REGEX_ENGINE"", ""TF_IDF""]",True,False,True,True,False,True,6458,reclassify_value_gate
_registry/keywords/by_policy_area/PA04_derechos_economicos_sociales_culturales.json,phase_2,Phase_2,definitely_not,"[""scope_alignment=PARTIAL""]",0,[],"[""EvidenceNexus"", ""IrrigationSynchronizer"", ""SignalEnhancementIntegrator""]","[""phase_2_enrichment""]","[""PATTERN_ENRICHMENT"", ""KEYWORD_ENRICHMENT"", ""ENTITY_ENRICHMENT""]","[""ENTITY_LINKING"", ""KEYWORD_MATCHING"", ""NER_EXTRACTION"", ""PATTERN_MATCHING"", ""REGEX_ENGINE"", ""TF_IDF""]",True,False,True,True,False,True,6038,reclassify_value_gate
